DR_NO,Date Rptd,Date,Time,AREA,Area Name,Rpt Dist No,Part 1-2,Crm Cd,Crime Description,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Status,Status Desc,Crm Cd 1,LOCATION,Latitude,Longitude,Year,Month,Day,Weekday,Hour,Time_of_Day
190326475,01-03-2020,01-03-2020,2130,7,wilshire,784,1,510,vehicle - stolen,0,M,O,101,STREET,AA,Adult Arrest,510,1900 S  LONGWOOD                     AV,34.0375,-118.3506,2020,3,1,Sunday,21,Night
200106753,09-02-2020,08-02-2020,1800,1,central,182,1,330,burglary from vehicle,47,M,O,128,BUS STOP/LAYOVER (ALSO QUERY 124),IC,Invest Cont,330,1000 S  FLOWER                       ST,34.0444,-118.2628,2020,2,8,Saturday,18,Evening
200320258,11-11-2020,04-11-2020,1700,3,southwest,356,1,480,bike - stolen,19,X,X,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,480,1400 W  37TH                         ST,34.021,-118.3002,2020,11,4,Wednesday,17,Evening
200907217,10-05-2023,10-03-2020,2037,9,van nuys,964,1,343,shoplifting-grand theft ($950.01 & over),19,M,O,405,CLOTHING STORE,IC,Invest Cont,343,14000    RIVERSIDE                    DR,34.1576,-118.4387,2020,3,10,Tuesday,20,Evening
200412582,09-09-2020,09-09-2020,630,4,hollenbeck,413,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,200 E  AVENUE 28,34.082,-118.213,2020,9,9,Wednesday,6,Morning
200209713,03-05-2020,02-05-2020,1800,2,rampart,245,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,2500 W  4TH                          ST,34.0642,-118.2771,2020,5,2,Saturday,18,Evening
200200759,07-07-2020,07-07-2020,1340,2,rampart,265,1,648,arson,0,X,X,101,STREET,IC,Invest Cont,648,JAMES M WOOD,34.0536,-118.2788,2020,7,7,Tuesday,13,Afternoon
201308739,27-03-2020,27-03-2020,1210,13,newton,1333,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,3200 S  SAN PEDRO                    ST,34.017,-118.2643,2020,3,27,Friday,12,Afternoon
201112065,31-07-2020,30-07-2020,2030,11,northeast,1161,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,AA,Adult Arrest,510,KENMORE                      ST,34.0953,-118.2974,2020,7,30,Thursday,20,Evening
200121929,04-12-2020,03-12-2020,2300,1,central,105,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,400    SOLANO                       AV,34.071,-118.2302,2020,12,3,Thursday,23,Night
201215394,26-06-2020,25-06-2020,2200,12,77th street,1259,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,FLORENCE,33.9747,-118.2587,2020,6,25,Thursday,22,Night
200406391,02-03-2020,01-03-2020,1430,4,hollenbeck,407,1,310,burglary,27,M,W,221,PUBLIC STORAGE,IC,Invest Cont,310,4500    HUNTINGTON DR,34.0881,-118.1877,2020,3,1,Sunday,14,Afternoon
200114396,06-07-2020,04-07-2020,100,1,central,157,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,6TH                          ST,34.0423,-118.2453,2020,7,4,Saturday,1,Night
200912561,20-07-2020,20-07-2020,700,9,van nuys,937,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,BESSEMER,34.1812,-118.4356,2020,7,20,Monday,7,Morning
200207955,19-03-2020,19-03-2020,130,2,rampart,236,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,1900    MIRAMAR                      ST,34.0632,-118.2693,2020,3,19,Thursday,1,Night
200112598,01-06-2020,30-05-2020,30,1,central,153,1,310,burglary,0,M,W,201,JEWELRY STORE,AA,Adult Arrest,310,600 S  BROADWAY,34.0467,-118.252,2020,5,30,Saturday,0,Night
200905707,08-02-2020,07-02-2020,2000,9,van nuys,939,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,AO,Adult Other,510,AETNA,34.1803,-118.4204,2020,2,7,Friday,20,Evening
200215463,26-09-2020,25-09-2020,1900,2,rampart,237,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,1600 W  COURT                        ST,34.0668,-118.2627,2020,9,25,Friday,19,Evening
200308100,07-03-2020,06-03-2020,2200,3,southwest,317,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,VERMONT,34.0344,-118.2915,2020,3,6,Friday,22,Night
200606074,12-02-2020,07-02-2020,1615,6,hollywood,646,2,805,pimping,23,F,H,101,STREET,AA,Adult Arrest,805,HOLLYWOOD,34.1016,-118.337,2020,2,7,Friday,16,Afternoon
200517540,07-12-2020,30-11-2020,2255,5,harbor,541,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,1400    BRETT                        PL,33.7553,-118.3056,2020,11,30,Monday,22,Night
200506977,10-03-2020,22-02-2020,30,5,harbor,511,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,AA,Adult Arrest,510,1600 W  PACIFIC COAST                HY,33.7926,-118.3043,2020,2,22,Saturday,0,Night
201110303,11-06-2020,08-06-2020,2000,11,northeast,1118,1,310,burglary,0,M,O,203,OTHER BUSINESS,IC,Invest Cont,310,100    AVENUE 56,34.1089,-118.1942,2020,6,8,Monday,20,Evening
201000767,14-07-2020,13-07-2020,2000,10,west valley,1043,1,330,burglary from vehicle,41,M,W,108,PARKING LOT,AA,Adult Arrest,330,18600    HATTERAS                     ST,34.1774,-118.5387,2020,7,13,Monday,20,Evening
200510354,08-06-2020,08-06-2020,330,5,harbor,587,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,2900 S  KERCKHOFF                    AV,33.7179,-118.2898,2020,6,8,Monday,3,Night
200410136,24-06-2020,24-06-2020,700,4,hollenbeck,413,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,300 E  AVENUE 31,34.0809,-118.2132,2020,6,24,Wednesday,7,Morning
200814461,24-09-2020,24-09-2020,1710,8,west la,898,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,ROBERTSON                    BL,34.0375,-118.3886,2020,9,24,Thursday,17,Evening
